Name,Rating,Reviews,Salaries,jobs,Industry&Location
Bosch Global Software Technologies,3.9,4.5k,36.3k,19,IT Services & Consulting | Bangalore / Bengaluru +36 other locations
UST,3.8,4.5k,36.5k,107,IT Services & Consulting | Bangalore / Bengaluru +43 other locations
Citicorp,3.7,4.5k,43.9k,--,Financial Services | Pune +62 other locations
Hero MotoCorp,4.1,4.5k,14.9k,1,Automobile | Gurgaon / Gurugram +332 other locations
Mahindra Finance,4.1,4.5k,11.3k,45,NBFC | Mumbai +673 other locations
JustDial,3.5,4.5k,14.8k,86,Internet | Noida +199 other locations
Eviden,3.6,4.4k,29.7k,44,IT Services & Consulting | Pune +33 other locations
Vivo,4.1,4.4k,13.3k,4,Consumer Electronics & Appliances | Noida +391 other locations
SMFG India Credit,4.0,4.3k,10.3k,37,NBFC | Mumbai +540 other locations
Home Credit Finance,4.1,4.3k,10.4k,97,NBFC | Gurgaon / Gurugram +121 other locations
Manappuram Finance,3.9,4.3k,8.1k,31,NBFC | Bangalore / Bengaluru +555 other locations
BNY,3.9,4.2k,28.5k,106,Financial Services | Pune +22 other locations
Atos,3.8,4.2k,31.4k,33,IT Services & Consulting | Pune +49 other locations
TVS Motor,4.0,4.2k,14.9k,8,Automobile | Hosur +306 other locations
IQVIA,3.9,4.2k,27.9k,30,Clinical Research | Bangalore / Bengaluru +56 other locations
Swiggy,3.8,4.2k,20.9k,199,Internet | Bangalore / Bengaluru +204 other locations
SBI Cards & Payment Services,3.7,4.2k,16.2k,73,Financial Services | New Delhi +387 other locations
Nagarro,4.0,4.2k,27.4k,276,IT Services & Consulting | Gurgaon / Gurugram +41 other locations
OPPO,4.0,4.1k,12.5k,19,Consumer Electronics & Appliances | Noida +382 other locations
Kalpataru Projects International,4.1,4.1k,12.6k,2,Engineering & Construction | Mumbai +279 other locations
Amdocs,3.7,4.1k,35.5k,43,Software Product | Pune +19 other locations
Persistent Systems,3.5,4k,38.2k,181,IT Services & Consulting | Pune +41 other locations
CBRE,4.2,4k,17k,46,Real Estate | Hyderabad / Secunderabad +81 other locations
NTT Data,3.8,4k,27.8k,71,IT Services & Consulting | Bangalore / Bengaluru +61 other locations
State Bank of India,3.8,3.9k,10.9k,3,Banking | Mumbai +538 other locations
Bosch,4.2,3.9k,19.9k,271,Auto Components | Bangalore / Bengaluru +111 other locations
Hewlett Packard Enterprise,4.2,3.9k,27k,15,IT Services & Consulting | Bangalore / Bengaluru +92 other locations
Mahindra Logistics,3.9,3.9k,13.4k,11,Logistics | Mumbai +221 other locations
JBM Group,4.0,3.9k,13.8k,22,Auto Components | Gurgaon / Gurugram +96 other locations
SBI Life Insurance Company,3.8,3.9k,11.1k,8,Insurance | Mumbai +581 other locations
Schneider Electric,4.1,3.9k,21.6k,458,Industrial Automation | Bangalore / Bengaluru +114 other locations
Dell,3.9,3.9k,27.3k,69,Consumer Electronics & Appliances | Bangalore / Bengaluru +105 other locations
PolicyBazaar,3.6,3.9k,14.8k,151,Internet | Gurgaon / Gurugram +117 other locations
Ecom Express,3.8,3.8k,9.4k,18,Logistics | Gurgaon / Gurugram +681 other locations
Nagarjuna Construction Company,4.1,3.8k,10.8k,12,Engineering & Construction | Hyderabad / Secunderabad +254 other locations
Piramal Capital Housing Finance,4.2,3.8k,9.2k,6,NBFC | Mumbai +360 other locations
KEC International,4.0,3.8k,12.1k,2,Engineering & Construction | Mumbai +280 other locations
Aditya Birla Fashion and Retail,4.1,3.7k,12.7k,15,Fashion & Textile | Bangalore / Bengaluru +251 other locations
Hyundai Motor India Limited,4.3,3.7k,12.9k,12,Automobile | Chennai +269 other locations
Varun Beverages,4.0,3.7k,10.9k,81,Beverage | New Delhi +325 other locations
CARS24,3.5,3.6k,14.2k,131,Internet | Gurgaon / Gurugram +162 other locations
Randstad,3.8,3.6k,15.2k,94,Recruitment | Hyderabad / Secunderabad +300 other locations
Oyo Rooms,3.3,3.6k,20.3k,58,Hospitality | Gurgaon / Gurugram +120 other locations
EY Global Delivery Services ( EY GDS),3.6,3.6k,33.1k,7,Accounting & Auditing | Bangalore / Bengaluru +46 other locations
Bajaj Auto,3.9,3.6k,13.6k,113,Automobile | Pune +282 other locations
Deutsche Bank,3.9,3.5k,31.2k,1k,Banking | Pune +40 other locations
L&T Finance,3.9,3.5k,11.1k,7,NBFC | Mumbai +529 other locations
Reliance Communications,4.0,3.5k,10.7k,--,Telecom | Mumbai +446 other locations
Intas Pharmaceuticals,4.1,3.5k,15.9k,23,Pharma | Ahmedabad +131 other locations
ITC Infotech,3.6,3.5k,28.1k,87,IT Services & Consulting | Bangalore / Bengaluru +60 other locations
Team Lease,3.9,3.5k,15.3k,1,Recruitment | Bangalore / Bengaluru +353 other locations
R1 RCM,3.9,3.4k,18.8k,129,BPO | New Delhi +38 other locations
Tata Communications,4.0,3.4k,22.9k,40,Telecom | Pune +95 other locations
Havells,4.0,3.4k,13.2k,22,Electrical Equipment | Noida +212 other locations
Access Healthcare,3.9,3.4k,21.6k,90,Analytics & KPO | Chennai +43 other locations
Royal Enfield,4.2,3.4k,13.8k,3,Automobile | Chennai +338 other locations
John Deere,4.1,3.4k,14.7k,25,Industrial Machinery | Pune +128 other locations
Hetero,3.8,3.4k,14.4k,27,Pharma | Hyderabad / Secunderabad +54 other locations
LG Electronics,4.0,3.4k,10.5k,--,Consumer Electronics & Appliances | Pune +273 other locations
Thermax Limited,4.1,3.4k,12.1k,37,Industrial Machinery | Pune +214 other locations
Macleods Pharmaceuticals,3.6,3.3k,14.8k,21,Mumbai +115 other locations
Aakash Educational Services,3.4,3.3k,12.3k,65,Education & Training | New Delhi +225 other locations
HDFC Ergo General Insurance,3.9,3.3k,11.8k,--,Insurance | Mumbai +281 other locations
Tata AIA Life Insurance,4.0,3.3k,12.7k,534,Insurance | Mumbai +372 other locations
Utkarsh Small Finance Bank,3.8,3.2k,9.9k,36,Banking | Varanasi +340 other locations
Publicis Sapient,3.5,3.2k,27k,174,IT Services & Consulting | Bangalore / Bengaluru +37 other locations
DCB Bank,3.8,3.2k,9.5k,12,Banking | Mumbai +322 other locations
Cummins,4.3,3.2k,15.2k,112,Industrial Machinery | Pune +100 other locations
VE Commercial Vehicles,3.9,3.2k,13.1k,3,Automobile | Indore +141 other locations
PVR Inox,4.0,3.2k,9.5k,23,Media & Entertainment | New Delhi +143 other locations
Viatris,4.2,3.2k,13.9k,6,Pharma | Hyderabad / Secunderabad +75 other locations
Berger Paints,3.7,3.2k,8.9k,57,Chemicals | Kolkata +293 other locations
Carelon Global Solutions,3.9,3.2k,24.9k,10,Software Product | Bangalore / Bengaluru +19 other locations
Godrej & Boyce Manufacturing,3.9,3.1k,15.1k,27,Consumer Electronics & Appliances | Mumbai +140 other locations
Samvardhana Motherson Group,3.7,3.1k,12.5k,5,Auto Components | Noida +83 other locations
Lenskart,3.2,3.1k,10.9k,170,Internet | New Delhi +198 other locations
Subros,3.8,3.1k,12.2k,3,Auto Components | Noida +74 other locations
Pidilite Industries,4.3,3.1k,10.1k,4,Chemicals | Mumbai +271 other locations
Automatic Data Processing (ADP),4.0,3.1k,20.3k,50,Software Product | Hyderabad / Secunderabad +35 other locations
Alembic Pharmaceuticals,4.0,3.1k,14.1k,46,Pharma | Vadodara +168 other locations
American Express,4.2,3.1k,21.4k,200,Financial Services | Gurgaon / Gurugram +43 other locations
Bank of America,4.2,3.1k,25.2k,82,Banking | Gurgaon / Gurugram +31 other locations
Abbott,4.1,3.1k,11k,284,Pharma | Mumbai +189 other locations
Sodexo,4.1,3.1k,9.8k,86,Facility Management Services | Mumbai +145 other locations
Jindal Steel and Power,3.9,3.1k,14.2k,12,Iron & Steel | Angul +146 other locations
Hindalco Industries,4.2,3.1k,10.7k,41,Metals & Mining | Sambalpur +109 other locations
Bharat Electronics,4.2,3.1k,11.9k,--,Electronics Manufacturing | Bangalore / Bengaluru +69 other locations
RBL Bank,3.6,3k,17k,38,Banking | Mumbai +248 other locations
Jubilant Foods Works,3.7,3k,8.5k,35,Hospitality | New Delhi +220 other locations
Kogta Financial India Limited,4.7,3k,1.7k,32,NBFC | Jaipur +228 other locations
Reliance Projects & Property Management Services,4.0,3k,6.9k,--,IT Services & Consulting | Kolkata +566 other locations
Indian Oil Corporation,4.4,3k,7.8k,--,Oil & Gas | New Delhi +277 other locations
Future Group,4.2,3k,9.4k,--,Retail | Mumbai +203 other locations
Birlasoft,3.6,3k,28.5k,38,IT Services & Consulting | Pune +43 other locations
Synechron,3.5,3k,27k,53,IT Services & Consulting | Pune +31 other locations
Escorts Kubota Limited,4.1,3k,11.9k,9,Automobile | Faridabad +139 other locations
Cogent E Services,3.3,3k,9.4k,--,Noida +47 other locations
Maersk,4.1,3k,17.3k,164,Logistics | Pune +42 other locations
Dabur,4.0,3k,8.1k,34,FMCG | New Delhi +286 other locations
Marpu Foundation,4.8,3k,49,--,Non-Profit | Hyderabad / Secunderabad +47 other locations
Reliance Digital,4.1,3k,8k,--,Retail | Mumbai +346 other locations
Johnson Controls,3.6,2.9k,16.3k,248,Industrial Automation | Pune +52 other locations
Ford Motor,4.3,2.9k,14.4k,--,Automobile | Chennai +120 other locations
"NTT DATA, Inc.",4.0,2.9k,26.6k,86,IT Services & Consulting | Bangalore / Bengaluru +34 other locations
State Street Corporation,3.7,2.9k,27k,10,Financial Services | Bangalore / Bengaluru +28 other locations
Glenmark Pharmaceuticals,3.9,2.9k,11.4k,90,Pharma | Mumbai +151 other locations
Alkem Laboratories,3.9,2.9k,9.1k,16,Pharma | Mumbai +174 other locations
Ipca Laboratories,3.9,2.9k,11k,23,Pharma | Mumbai +142 other locations
24/7 Customer,3.5,2.9k,13.3k,33,Software Product | Bangalore / Bengaluru +34 other locations
UBS,3.9,2.9k,28.7k,22,Financial Services | Pune +19 other locations
PNB MetLife,3.4,2.9k,7.7k,351,Insurance | New Delhi +371 other locations
Aarti Industries,4.1,2.9k,13.7k,43,Agro Chemicals | Bharuch +52 other locations
Vishal Mega Mart,3.7,2.9k,6.8k,--,Retail | New Delhi +335 other locations
Kotak Mahindara Life Insurance,3.7,2.9k,11.8k,100,Insurance | Mumbai +229 other locations
Kyndryl,4.0,2.9k,21k,82,IT Services & Consulting | Bangalore / Bengaluru +32 other locations
JK Cement,4.1,2.8k,8.8k,--,Building Material | New Delhi +284 other locations
Honda Motorcycle & Scooter,4.1,2.8k,11k,1,Automobile | Gurgaon / Gurugram +252 other locations
KPIT Technologies,3.4,2.8k,20.9k,25,Software Product | Pune +37 other locations
MRF Tyres,3.7,2.8k,11.4k,23,Auto Components | Chennai +178 other locations
Indian Air Force,4.5,2.8k,5.3k,--,Defence & Aerospace | New Delhi +127 other locations
Hindustan Coca Cola Beverages,4.1,2.8k,7.4k,54,Beverage | Bangalore / Bengaluru +236 other locations
HARMAN,3.7,2.8k,23.3k,344,Consumer Electronics & Appliances | Bangalore / Bengaluru +34 other locations
Motilal Oswal Financial Services,3.7,2.8k,10.5k,36,Financial Services | Mumbai +148 other locations
DTDC Express,3.7,2.8k,8.5k,19,Logistics | New Delhi +243 other locations
IGT Solutions,3.3,2.8k,12.3k,106,IT Services & Consulting | New Delhi +43 other locations
Aditya Birla Sun Life Insurance,4.0,2.8k,8.9k,1,Insurance | Mumbai +416 other locations
Reliance Nippon Life Insurance,3.6,2.8k,8.3k,11,Insurance | Mumbai +457 other locations
ABB,4.1,2.7k,15.7k,49,Industrial Machinery | Bangalore / Bengaluru +98 other locations
